model,WMAPE_mean,WMAPE_std,WMAPE_median,RMSE_mean,RMSE_std,RMSE_median,MAE_mean,MAE_std,MAE_median
HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
MLR,0.6459,0.0581,0.6578,453.2393,157.1645,429.507,207.0247,79.5027,191.46
RF,0.6353,0.0544,0.6435,458.0893,159.4193,444.077,203.5099,76.7707,186.537
XGBoost,0.6508,0.0881,0.6423,457.6963,158.8356,438.978,207.0169,77.3479,191.873
MLP,0.6356,0.0589,0.6494,442.8574,153.7426,432.551,203.2282,76.7996,190.258
GATv2,0.7325,0.0445,0.7386,521.3365,188.5401,495.453,238.6589,102.5009,206.909
