model,WMAPE_mean,WMAPE_std,WMAPE_median,RMSE_mean,RMSE_std,RMSE_median,MAE_mean,MAE_std,MAE_median
HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
IDW,0.8487,0.0396,0.8542,568.8428,191.4246,569.887,275.1282,112.0893,243.79
MLR,0.642,0.0557,0.6427,449.8165,151.286,426.025,206.0442,79.8916,187.84
RF,0.6452,0.0582,0.6554,465.2284,155.4349,448.375,206.2316,76.6688,186.267
XGBoost,0.6584,0.0862,0.6571,460.3771,156.1343,442.136,209.6112,78.3453,193.917
MLP,0.6365,0.056,0.6487,446.5814,150.6638,426.644,203.5643,76.8874,185.34
GATv2,0.7262,0.0521,0.7317,510.2774,167.9573,497.977,233.7831,90.8582,207.099
