model,WMAPE_mean,WMAPE_std,WMAPE_median,RMSE_mean,RMSE_std,RMSE_median,MAE_mean,MAE_std,MAE_median
HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
MLR-tuned,0.6401,0.0567,0.6476,452.3135,155.4298,424.399,205.3469,79.021,189.584
RF-tuned,0.6339,0.0554,0.6466,449.8852,150.6688,427.165,202.8377,76.2561,181.607
XGBoost-tuned,0.6497,0.0583,0.6605,467.329,162.5318,442.348,208.3479,80.3155,190.465
MLP,0.6311,0.0563,0.6386,440.3491,151.7738,419.062,201.9388,76.3417,187.158
GATv2,0.7187,0.0439,0.7159,507.8389,186.956,496.542,233.293,98.2656,212.07
