borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,Gated,0.657,514.098,193.484
Barnet,993,Gated,0.6783,312.876,145.077
Bexley,672,Gated,0.6751,296.861,102.155
Brent,575,Gated,0.6245,471.136,237.433
Bromley,1179,Gated,0.6676,178.516,67.892
Camden,424,Gated,0.504,408.738,203.543
City of London,101,Gated,0.5649,646.166,368.118
Croydon,1019,Gated,0.6621,272.663,109.026
Ealing,683,Gated,0.6575,478.786,217.078
Enfield,707,Gated,0.6557,353.643,158.253
Greenwich,659,Gated,0.6571,513.951,187.538
Hackney,442,Gated,0.4877,353.219,192.135
Hammersmith and Fulham,276,Gated,0.6891,646.081,326.703
Haringey,461,Gated,0.6324,631.636,286.66
Harrow,432,Gated,0.6015,282.62,141.535
Havering,691,Gated,0.7023,348.264,117.658
Hillingdon,706,Gated,0.726,498.611,172.971
Hounslow,651,Gated,0.6139,338.734,153.289
Islington,349,Gated,0.5813,615.765,301.994
Kensington and Chelsea,260,Gated,0.5752,405.183,249.342
Kingston upon Thames,391,Gated,0.6897,478.744,160.696
Lambeth,577,Gated,0.605,782.462,300.888
Lewisham,609,Gated,0.5955,387.587,175.342
Merton,457,Gated,0.6536,419.566,169.369
Newham,465,Gated,0.584,397.574,223.884
Redbridge,539,Gated,0.6638,351.768,163.31
Richmond upon Thames,484,Gated,0.6668,261.632,123.774
Southwark,583,Gated,0.5828,672.239,280.652
Sutton,421,Gated,0.6105,209.774,99.351
Tower Hamlets,381,Gated,0.5922,295.269,168.366
Waltham Forest,492,Gated,0.6765,470.456,213.956
Wandsworth,481,Gated,0.6306,568.13,268.0
Westminster,419,Gated,0.5512,686.214,359.473
