model,WMAPE_mean,WMAPE_std,WMAPE_median,RMSE_mean,RMSE_std,RMSE_median,MAE_mean,MAE_std,MAE_median
HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
MLR,0.7982,0.0312,0.7939,550.2205,186.6401,525.424,259.2565,106.6291,235.255
RF,0.797,0.0294,0.8004,550.5915,194.0419,520.985,259.9157,110.5974,232.945
XGBoost,0.8075,0.0354,0.7967,550.798,198.6515,526.156,264.135,115.667,233.916
