borough,STOPCODE,alpha
Barking and Dagenham,1029,0.5717082
Barking and Dagenham,1216,0.46280015
Barking and Dagenham,1217,0.45182785
Barking and Dagenham,14100,0.59504783
Barking and Dagenham,14119,0.5452888
Barking and Dagenham,14677,0.4625476
Barking and Dagenham,14693,0.5485911
Barking and Dagenham,14694,0.5250303
Barking and Dagenham,14718,0.6167611
Barking and Dagenham,14951,0.4975462
Barking and Dagenham,14952,0.4673133
Barking and Dagenham,14953,0.483403
Barking and Dagenham,14954,0.474106
Barking and Dagenham,15003,0.48141146
Barking and Dagenham,15004,0.49577042
Barking and Dagenham,15445,0.46789122
Barking and Dagenham,15447,0.46034822
Barking and Dagenham,15448,0.4969883
Barking and Dagenham,15449,0.48523328
Barking and Dagenham,15450,0.5268438
Barking and Dagenham,15451,0.5500167
Barking and Dagenham,15452,0.4878105
Barking and Dagenham,15453,0.51116246
Barking and Dagenham,15454,0.44036406
Barking and Dagenham,15455,0.43713415
Barking and Dagenham,15456,0.47781837
Barking and Dagenham,15457,0.45959762
Barking and Dagenham,15458,0.46122342
Barking and Dagenham,15459,0.50598097
Barking and Dagenham,15460,0.4750514
Barking and Dagenham,15461,0.45561013
Barking and Dagenham,15462,0.458531
Barking and Dagenham,15463,0.45863858
Barking and Dagenham,15464,0.48459136
Barking and Dagenham,15465,0.4862444
Barking and Dagenham,15466,0.51866704
Barking and Dagenham,15467,0.5187403
Barking and Dagenham,15468,0.5259336
Barking and Dagenham,15469,0.54981506
Barking and Dagenham,15470,0.57534325
Barking and Dagenham,15477,0.4533976
Barking and Dagenham,15478,0.44490328
Barking and Dagenham,15479,0.45495176
Barking and Dagenham,15480,0.45550445
Barking and Dagenham,15481,0.48173407
Barking and Dagenham,15482,0.49324977
Barking and Dagenham,15504,0.41672423
Barking and Dagenham,15505,0.49291867
Barking and Dagenham,15506,0.48339173
Barking and Dagenham,15508,0.4866735
Barking and Dagenham,15513,0.45339414
Barking and Dagenham,15514,0.5102774
Barking and Dagenham,15515,0.46304598
Barking and Dagenham,15517,0.4820233
Barking and Dagenham,15518,0.5048351
Barking and Dagenham,15519,0.4896442
Barking and Dagenham,15520,0.46932295
Barking and Dagenham,15522,0.5234755
Barking and Dagenham,15586,0.5130117
Barking and Dagenham,16480,0.64294904
Barking and Dagenham,16481,0.5557175
Barking and Dagenham,16484,0.5742618
Barking and Dagenham,16485,0.5748071
Barking and Dagenham,1676,0.5400692
Barking and Dagenham,1677,0.5239699
Barking and Dagenham,16970,0.51664025
Barking and Dagenham,1709,0.6021589
Barking and Dagenham,1710,0.58672357
Barking and Dagenham,1711,0.5885237
Barking and Dagenham,18025,0.5786822
Barking and Dagenham,18026,0.6114633
Barking and Dagenham,18296,0.54866153
Barking and Dagenham,18297,0.523334
Barking and Dagenham,18298,0.5920822
Barking and Dagenham,18299,0.59742767
Barking and Dagenham,1830,0.5097393
Barking and Dagenham,18301,0.5300268
Barking and Dagenham,18304,0.5603384
Barking and Dagenham,18305,0.5620323
Barking and Dagenham,18306,0.5778548
Barking and Dagenham,18307,0.57823807
Barking and Dagenham,18308,0.5507427
Barking and Dagenham,18309,0.54797673
Barking and Dagenham,1831,0.5194196
Barking and Dagenham,18310,0.5473633
Barking and Dagenham,18311,0.53789395
Barking and Dagenham,18312,0.49188846
Barking and Dagenham,18313,0.51212144
Barking and Dagenham,18314,0.44924212
Barking and Dagenham,18340,0.53746057
Barking and Dagenham,18341,0.5659991
Barking and Dagenham,18342,0.60114974
Barking and Dagenham,18343,0.5323608
Barking and Dagenham,18344,0.53329086
Barking and Dagenham,18345,0.4975905
Barking and Dagenham,18346,0.49942893
Barking and Dagenham,18391,0.55229044
Barking and Dagenham,18392,0.55797195
Barking and Dagenham,18393,0.52335584
Barking and Dagenham,18394,0.5201424
Barking and Dagenham,18800,0.53227687
Barking and Dagenham,1904,0.5824241
Barking and Dagenham,19041,0.5663441
Barking and Dagenham,19042,0.5928264
Barking and Dagenham,19296,0.57434916
Barking and Dagenham,19297,0.56539
Barking and Dagenham,19298,0.5388923
Barking and Dagenham,19299,0.5477855
Barking and Dagenham,19300,0.5196309
Barking and Dagenham,19301,0.5200297
Barking and Dagenham,19302,0.45819768
Barking and Dagenham,19303,0.47401696
Barking and Dagenham,19304,0.47438335
Barking and Dagenham,19305,0.5522706
Barking and Dagenham,19306,0.5466801
Barking and Dagenham,19307,0.5457619
Barking and Dagenham,19308,0.4983776
Barking and Dagenham,19309,0.4902403
Barking and Dagenham,19310,0.4571849
Barking and Dagenham,19311,0.47755343
Barking and Dagenham,19312,0.48611397
Barking and Dagenham,19313,0.59204155
Barking and Dagenham,19315,0.5756702
Barking and Dagenham,19316,0.6085652
Barking and Dagenham,20339,0.5456208
Barking and Dagenham,20392,0.44725326
Barking and Dagenham,20499,0.5556574
Barking and Dagenham,20500,0.5391589
Barking and Dagenham,20521,0.59706926
Barking and Dagenham,20540,0.5087631
Barking and Dagenham,20541,0.51237124
Barking and Dagenham,20693,0.5256469
Barking and Dagenham,20694,0.5286069
Barking and Dagenham,20697,0.4862537
Barking and Dagenham,20811,0.57112414
