model,WMAPE_mean,WMAPE_std,WMAPE_median,RMSE_mean,RMSE_std,RMSE_median,MAE_mean,MAE_std,MAE_median
GATv2,0.3214,0.0768,0.3048,0.1178,0.0212,0.1147,0.0925,0.0192,0.0904
HistAvg,0.2977,0.0499,0.2989,0.1104,0.0138,0.1107,0.0859,0.013,0.0885
MLP,0.2894,0.044,0.2815,0.1076,0.0136,0.1073,0.0836,0.0122,0.0865
RF,0.2893,0.0479,0.2855,0.1078,0.0143,0.1069,0.0835,0.013,0.0834
