config,seeds,n_seeds,model,WMAPE_mean,WMAPE_std,WMAPE_median,RMSE_mean,RMSE_std,RMSE_median,MAE_mean,MAE_std,MAE_median
osm_only_fastbaselines,42,1,XGBoost,0.8084,0.0415,0.8026,549.6825,195.8068,522.489,263.4746,112.7519,234.739
osm_sc,42,1,HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
osm_sc,42,1,MLR,0.6459,0.0581,0.6578,453.2393,157.1645,429.507,207.0247,79.5027,191.46
osm_sc,42,1,RF,0.6353,0.0544,0.6435,458.0893,159.4193,444.077,203.5099,76.7707,186.537
osm_sc,42,1,XGBoost,0.6508,0.0881,0.6423,457.6963,158.8356,438.978,207.0169,77.3479,191.873
osm_sc,42,1,MLP,0.6356,0.0589,0.6494,442.8574,153.7426,432.551,203.2282,76.7996,190.258
osm_sc,42,1,GATv2,0.7325,0.0445,0.7386,521.3365,188.5401,495.453,238.6589,102.5009,206.909
pca_ai23_osm_sc,42,1,HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
pca_ai23_osm_sc,42,1,IDW,0.8487,0.0396,0.8542,568.8428,191.4246,569.887,275.1282,112.0893,243.79
pca_ai23_osm_sc,42,1,MLR,0.6401,0.0568,0.6509,451.5193,155.0956,424.5,205.3869,79.2539,190.272
pca_ai23_osm_sc,42,1,RF,0.64,0.0532,0.6499,464.9367,161.7113,438.019,205.2648,78.1559,187.525
pca_ai23_osm_sc,42,1,XGBoost,0.6474,0.0689,0.6454,457.8775,153.9759,432.993,206.2935,76.0424,189.002
pca_ai23_osm_sc,42,1,MLP,0.6299,0.0565,0.6372,440.1512,152.7659,420.925,201.6916,76.7329,188.784
pca_ai23_osm_sc,42,1,GATv2,0.7171,0.0517,0.7119,509.4207,184.6023,492.371,231.7803,93.5462,204.557
tuned,42,1,HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
tuned,42,1,MLR-tuned,0.6401,0.0567,0.6476,452.3135,155.4298,424.399,205.3469,79.021,189.584
tuned,42,1,RF-tuned,0.6339,0.0554,0.6466,449.8852,150.6688,427.165,202.8377,76.2561,181.607
tuned,42,1,XGBoost-tuned,0.6497,0.0583,0.6605,467.329,162.5318,442.348,208.3479,80.3155,190.465
tuned,42,1,MLP,0.6311,0.0563,0.6386,440.3491,151.7738,419.062,201.9388,76.3417,187.158
tuned,42,1,GATv2,0.7187,0.0439,0.7159,507.8389,186.956,496.542,233.293,98.2656,212.07
vc_ai23_osm,42,1,GATv2,0.3214,0.0768,0.3048,0.1178,0.0212,0.1147,0.0925,0.0192,0.0904
vc_ai23_osm,42,1,HistAvg,0.2977,0.0499,0.2989,0.1104,0.0138,0.1107,0.0859,0.013,0.0885
vc_ai23_osm,42,1,MLP,0.2894,0.044,0.2815,0.1076,0.0136,0.1073,0.0836,0.0122,0.0865
vc_ai23_osm,42,1,RF,0.2893,0.0479,0.2855,0.1078,0.0143,0.1069,0.0835,0.013,0.0834
zheng_fusion,42,1,HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
zheng_fusion,42,1,MLR,0.6404,0.0567,0.6485,452.092,155.4564,425.149,205.4534,79.1282,189.529
zheng_fusion,42,1,RF,0.6428,0.0547,0.6545,466.8712,161.065,438.249,205.8846,77.6608,187.228
zheng_fusion,42,1,XGBoost,0.6437,0.068,0.642,455.6411,158.1134,441.689,205.7638,78.082,183.374
zheng_fusion,42,1,MLP,0.6311,0.0563,0.6386,440.3491,151.7738,419.062,201.9388,76.3417,187.158
zheng_fusion,42,1,GATv2,0.7187,0.0439,0.7159,507.8389,186.956,496.542,233.293,98.2656,212.07
zheng_fusion,42,1,GATv2-Fusion,0.707,0.05,0.702,495.356,164.4187,467.287,227.3123,85.7271,208.927
alt_target_activity_quick,42,1,HistAvg,1.416,0.7403,1.1911,858.9898,225.2218,779.753,532.5354,39.7544,518.289
alt_target_activity_quick,42,1,IDW,0.8523,0.0984,0.8426,826.3348,300.126,764.811,378.0446,157.2015,366.637
alt_target_activity_quick,42,1,MLR,0.6223,0.0421,0.631,643.9402,292.9315,546.512,282.18,125.808,260.642
alt_target_activity_quick,42,1,RF,0.6159,0.0256,0.6032,678.4574,274.8258,610.019,283.7464,136.4895,261.068
alt_target_activity_quick,42,1,XGBoost,0.6085,0.0413,0.5922,654.5118,254.9548,578.473,276.5922,125.1389,257.7
alt_target_activity_quick,42,1,MLP,0.6151,0.0338,0.6084,651.938,303.4866,559.991,280.3602,127.6265,261.003
alt_target_activity_quick,42,1,GATv2,0.7059,0.0398,0.723,769.4134,310.3721,654.892,322.5606,151.1865,289.605
