model,WMAPE_mean,WMAPE_std,WMAPE_median,RMSE_mean,RMSE_std,RMSE_median,MAE_mean,MAE_std,MAE_median
HistAvg,1.451,0.7339,1.2395,437.863,112.3888,388.739,272.2106,21.9881,265.098
MLR-tuned,0.6769,0.03,0.6925,366.8174,144.5049,347.257,153.5984,71.0905,148.126
RF-tuned,0.6622,0.0255,0.6509,357.7672,137.8946,317.621,150.6028,71.2354,139.086
XGBoost-tuned,0.6655,0.0167,0.6589,360.6594,135.7498,321.435,151.4676,72.1087,140.926
MLP,0.664,0.0253,0.6734,353.622,143.5041,309.83,150.3324,69.1419,144.021
GATv2,0.7201,0.0258,0.7159,384.3574,153.5188,343.481,163.1304,75.7558,153.1
