model,WMAPE_mean,WMAPE_std,WMAPE_median
HistAvg,1.0662516057491302,0.24506761326047508,1.0662516057491302
IDW,0.8308350591205089,0.03861584822653388,0.8308350591205089
MLR,0.6989237666130066,0.007642150865692328,0.6989237666130066
RF,0.6767067079029376,0.023937715698378575,0.6767067079029376
XGBoost,0.6641499400138855,0.009082308679309576,0.6641499400138855
MLP,0.7834651470184326,0.007905400081491373,0.7834651470184326
GATv2,0.9874933063983917,0.002067766534792972,0.9874933063983917
