borough,STOPCODE,alpha
Barking and Dagenham,25380,0.506907
Barking and Dagenham,25381,0.5448246
Barking and Dagenham,25382,0.561351
Barking and Dagenham,25383,0.5808752
Barking and Dagenham,25384,0.6180959
Barking and Dagenham,25385,0.5999496
Barking and Dagenham,25386,0.6363206
Barking and Dagenham,25387,0.596787
Barking and Dagenham,25388,0.6334072
Barking and Dagenham,25389,0.5795129
Barking and Dagenham,25390,0.5889822
Barking and Dagenham,25391,0.5702001
Barking and Dagenham,25392,0.5268778
Barking and Dagenham,25393,0.58771706
Barking and Dagenham,25394,0.535099
Barking and Dagenham,25395,0.5817114
Barking and Dagenham,25396,0.57262754
Barking and Dagenham,25399,0.5563252
Barking and Dagenham,26367,0.4938662
Barking and Dagenham,26887,0.520264
Barking and Dagenham,26888,0.4739436
Barking and Dagenham,27451,0.5454658
Barking and Dagenham,27870,0.52310276
Barking and Dagenham,27950,0.53149426
Barking and Dagenham,2838,0.52454245
Barking and Dagenham,29141,0.5400377
Barking and Dagenham,29142,0.5394651
Barking and Dagenham,29143,0.56196654
Barking and Dagenham,29144,0.56092876
Barking and Dagenham,29234,0.49413046
Barking and Dagenham,29235,0.57499564
Barking and Dagenham,29236,0.57181257
Barking and Dagenham,29237,0.59110177
Barking and Dagenham,29238,0.5633451
Barking and Dagenham,29239,0.5858079
Barking and Dagenham,29240,0.57940596
Barking and Dagenham,29241,0.5520215
Barking and Dagenham,29256,0.5321617
Barking and Dagenham,29257,0.5245003
Barking and Dagenham,29258,0.5252061
Barking and Dagenham,29259,0.5345331
Barking and Dagenham,29260,0.545827
Barking and Dagenham,29261,0.5144947
Barking and Dagenham,29262,0.51108706
Barking and Dagenham,29413,0.5618828
Barking and Dagenham,29414,0.5145764
Barking and Dagenham,29415,0.5440135
Barking and Dagenham,29416,0.54204774
Barking and Dagenham,29417,0.5106092
Barking and Dagenham,29418,0.5111613
Barking and Dagenham,29419,0.51659733
Barking and Dagenham,29420,0.5639415
Barking and Dagenham,29422,0.5450092
Barking and Dagenham,29423,0.54680663
Barking and Dagenham,29424,0.5630766
Barking and Dagenham,29425,0.57975155
Barking and Dagenham,29510,0.50569654
Barking and Dagenham,29511,0.51540947
Barking and Dagenham,29512,0.5299676
Barking and Dagenham,29513,0.5029817
Barking and Dagenham,29514,0.5144728
Barking and Dagenham,29516,0.52395344
Barking and Dagenham,29517,0.5411822
Barking and Dagenham,29518,0.52071625
Barking and Dagenham,29542,0.5045902
