STOPCODE,stop_name,total_boardings,n_route_dir_qhr_rows
11553,ST CHARLES SQUARE,276.76929,171
1156,CITY THAMESLINK STATION,1031.0245,391
11561,KILBURN PARK ROAD,457.13042,194
11564,NORTH POLE ROAD / SCRUBS LANE,159.79464,167
11566,LATYMER UPPER SCHOOL / PLAYING FIELDS,360.74415,401
11567,LATYMER UPPER SCHOOL / PLAYING FIELDS,289.67373,407
11568,HAMMERSMITH HOSPITAL,1907.46592,399
11569,HAMMERSMITH HOSPITAL,143.88556,265
1157,CITY THAMESLINK STATION,392.70712,467
11572,WULFSTAN STREET,445.29817,399
11573,WULFSTAN STREET,104.97291,402
11576,EAST ACTON STATION / FITZNEAL STREET,870.80578,398
11577,EAST ACTON STATION,315.4086,402
11582,WHITE CITY ESTATE,24.224159999999998,79
11583,PHOENIX HIGH SCHOOL,59.9006,77
11587,HEMLOCK ROAD,90.84375,224
11589,STEVENTON ROAD,70.11125,224
11590,UXBRIDGE ROAD,58.63577,225
11598,CAMBRIDGE ROAD,252.33793,272
116,WEST END LANE,92.14744999999999,188
1160,MOORGATE STATION,1859.09158,265
11601,ST CUTHBERT'S ROAD,219.67172,338
11607,FERNHEAD ROAD,217.38882,164
11609,QUEEN'S PARK STATION,1225.62711,348
11615,STATION TERRACE,980.4822,335
11616,WHITMORE GARDENS,188.46311,332
11617,OKEHAMPTON ROAD,292.76794,254
11618,OKEHAMPTON ROAD,351.31879,253
11621,ALL SOULS AVENUE,99.49401999999999,256
11622,ALL SOULS AVENUE,249.90282,255
11623,HANOVER ROAD,281.52404,241
11630,HANOVER ROAD,328.7177,251
11633,WILLESDEN GREEN LIBRARY,317.44485,164
11634,WILLESDEN GREEN LIBRARY,1162.82897,173
11635,KINGSLEY ROAD,190.51508,100
11636,KINGSLEY ROAD,128.12116,100
11637,PLYMPTON AVENUE,169.40953,99
11638,PLYMPTON AVENUE,152.58401,100
11639,CHRISTCHURCH,81.35048,100
1164,GALPINS ROAD,795.16882,98
11640,CHRISTCHURCH,199.98238,99
11641,DEERHURST ROAD,141.40725,100
11642,DEERHURST ROAD,139.57388,99
11643,SIDMOUTH ROAD,24.04626,101
11644,YATES COURT,62.16904,99
11645,SIDMOUTH ROAD,127.46313,99
11647,LIDDELL GARDENS,59.00958,82
11650,COLLEGE ROAD,33.86425,81
11651,COLLEGE ROAD,35.23411,79
11652,DOYLE GARDENS,46.511070000000004,79
11653,DOYLE GARDENS,25.37515,80
11656,ALL SOULS AVENUE,53.303979999999996,80
