model,WMAPE_mean,WMAPE_std,WMAPE_median,RMSE_mean,RMSE_std,RMSE_median,MAE_mean,MAE_std,MAE_median
HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
MLR,0.6404,0.0567,0.6485,452.092,155.4564,425.149,205.4534,79.1282,189.529
RF,0.6428,0.0547,0.6545,466.8712,161.065,438.249,205.8846,77.6608,187.228
XGBoost,0.6437,0.068,0.642,455.6411,158.1134,441.689,205.7638,78.082,183.374
MLP,0.6311,0.0563,0.6386,440.3491,151.7738,419.062,201.9388,76.3417,187.158
GATv2,0.7187,0.0439,0.7159,507.8389,186.956,496.542,233.293,98.2656,212.07
GCN,0.7006,0.0473,0.6936,466.0625,164.0125,459.73,226.0203,90.1482,203.729
