config,seeds,n_seeds,borough,n_test,model,WMAPE,RMSE,MAE
ai23_only,42,1,Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
ai23_only,42,1,Barking and Dagenham,364,RF,0.7779,574.976,229.096
ai23_only,42,1,Barking and Dagenham,364,MLP,0.7736,587.208,227.815
ai23_only,42,1,Barking and Dagenham,364,GATv2,0.7979,596.615,234.968
ai23_only,42,1,Barnet,993,HistAvg,1.2395,379.816,265.098
ai23_only,42,1,Barnet,993,RF,0.8534,375.222,182.521
ai23_only,42,1,Barnet,993,MLP,0.8341,374.387,178.394
ai23_only,42,1,Barnet,993,GATv2,0.8392,389.126,179.475
ai23_only,42,1,Bexley,672,HistAvg,1.6969,388.739,256.754
ai23_only,42,1,Bexley,672,RF,0.8245,363.375,124.749
ai23_only,42,1,Bexley,672,MLP,0.8292,367.942,125.47
ai23_only,42,1,Bexley,672,GATv2,0.8381,371.4,126.818
ai23_only,42,1,Brent,575,HistAvg,0.8181,541.496,311.062
ai23_only,42,1,Brent,575,RF,0.7969,577.836,302.987
ai23_only,42,1,Brent,575,MLP,0.7972,580.488,303.121
ai23_only,42,1,Brent,575,GATv2,0.812,590.127,308.737
ai23_only,42,1,Bromley,1179,HistAvg,2.6075,309.255,265.171
ai23_only,42,1,Bromley,1179,RF,0.8723,226.063,88.708
ai23_only,42,1,Bromley,1179,MLP,0.8705,229.449,88.522
ai23_only,42,1,Bromley,1179,GATv2,0.8747,230.952,88.953
ai23_only,42,1,Camden,424,HistAvg,0.8666,609.429,349.975
ai23_only,42,1,Camden,424,RF,0.8016,584.409,323.71
ai23_only,42,1,Camden,424,MLP,0.7905,606.934,319.219
ai23_only,42,1,Camden,424,GATv2,0.7883,601.301,318.326
ai23_only,42,1,City of London,101,HistAvg,0.798,914.764,520.033
ai23_only,42,1,City of London,101,RF,0.8192,944.307,533.829
ai23_only,42,1,City of London,101,MLP,0.8014,915.029,522.266
ai23_only,42,1,City of London,101,GATv2,0.8254,949.234,537.864
ai23_only,42,1,Croydon,1019,HistAvg,1.5477,343.611,254.841
ai23_only,42,1,Croydon,1019,RF,0.7888,319.03,129.883
ai23_only,42,1,Croydon,1019,MLP,0.7878,321.294,129.72
ai23_only,42,1,Croydon,1019,GATv2,0.8115,328.176,133.622
ai23_only,42,1,Ealing,683,HistAvg,0.9636,570.286,318.126
ai23_only,42,1,Ealing,683,RF,0.8267,581.335,272.928
ai23_only,42,1,Ealing,683,MLP,0.8311,592.286,274.396
ai23_only,42,1,Ealing,683,GATv2,0.8362,602.984,276.069
ai23_only,42,1,Enfield,707,HistAvg,1.1452,433.336,276.391
ai23_only,42,1,Enfield,707,RF,0.8599,451.886,207.544
ai23_only,42,1,Enfield,707,MLP,0.8516,449.265,205.541
ai23_only,42,1,Enfield,707,GATv2,0.8625,457.274,208.172
ai23_only,42,1,Greenwich,659,HistAvg,0.9994,596.257,285.229
ai23_only,42,1,Greenwich,659,RF,0.8307,617.31,237.087
ai23_only,42,1,Greenwich,659,MLP,0.8337,620.563,237.943
ai23_only,42,1,Greenwich,659,GATv2,0.8556,629.717,244.185
ai23_only,42,1,Hackney,442,HistAvg,0.8267,512.63,325.701
ai23_only,42,1,Hackney,442,RF,0.7886,530.679,310.696
ai23_only,42,1,Hackney,442,MLP,0.7788,521.32,306.829
ai23_only,42,1,Hackney,442,GATv2,0.7809,534.917,307.656
ai23_only,42,1,Hammersmith and Fulham,276,HistAvg,0.7878,748.498,373.545
ai23_only,42,1,Hammersmith and Fulham,276,RF,0.799,777.878,378.836
ai23_only,42,1,Hammersmith and Fulham,276,MLP,0.7874,769.727,373.336
ai23_only,42,1,Hammersmith and Fulham,276,GATv2,0.8094,786.684,383.745
ai23_only,42,1,Haringey,461,HistAvg,0.8402,761.461,380.81
ai23_only,42,1,Haringey,461,RF,0.8061,782.655,365.393
ai23_only,42,1,Haringey,461,MLP,0.8052,774.953,364.954
ai23_only,42,1,Haringey,461,GATv2,0.8187,791.301,371.103
ai23_only,42,1,Harrow,432,HistAvg,1.0881,369.502,256.035
ai23_only,42,1,Harrow,432,RF,0.7936,386.231,186.731
ai23_only,42,1,Harrow,432,MLP,0.7997,386.876,188.166
ai23_only,42,1,Harrow,432,GATv2,0.815,395.799,191.78
ai23_only,42,1,Havering,691,HistAvg,1.6017,456.404,268.356
ai23_only,42,1,Havering,691,RF,0.8462,439.772,141.768
ai23_only,42,1,Havering,691,MLP,0.8457,440.896,141.689
ai23_only,42,1,Havering,691,GATv2,0.8577,447.447,143.702
ai23_only,42,1,Hillingdon,706,HistAvg,1.3003,592.939,309.8
ai23_only,42,1,Hillingdon,706,RF,0.8556,597.118,203.847
ai23_only,42,1,Hillingdon,706,MLP,0.8707,610.462,207.438
ai23_only,42,1,Hillingdon,706,GATv2,0.8917,617.37,212.453
ai23_only,42,1,Hounslow,651,HistAvg,1.054,427.703,263.162
ai23_only,42,1,Hounslow,651,RF,0.8079,437.944,201.716
ai23_only,42,1,Hounslow,651,MLP,0.8195,443.914,204.631
ai23_only,42,1,Hounslow,651,GATv2,0.8307,452.171,207.408
ai23_only,42,1,Islington,349,HistAvg,0.7866,736.434,408.65
ai23_only,42,1,Islington,349,RF,0.7974,758.895,414.279
ai23_only,42,1,Islington,349,MLP,0.7921,755.328,411.535
