model,WMAPE_mean,WMAPE_std,WMAPE_median,RMSE_mean,RMSE_std,RMSE_median,MAE_mean,MAE_std,MAE_median
HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
MLR,0.8078,0.0329,0.813,554.9293,192.4391,522.731,262.3527,108.1585,239.509
RF,0.8064,0.034,0.8079,552.8485,197.1696,530.96,262.9979,112.4209,234.468
XGBoost,0.8084,0.0415,0.8026,549.6825,195.8068,522.489,263.4746,112.7519,234.739
