model,WMAPE_mean,WMAPE_std,WMAPE_median,RMSE_mean,RMSE_std,RMSE_median,MAE_mean,MAE_std,MAE_median
HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
IDW,0.8487,0.0396,0.8542,568.8428,191.4246,569.887,275.1282,112.0893,243.79
MLR,0.6401,0.0568,0.6509,451.5193,155.0956,424.5,205.3869,79.2539,190.272
RF,0.64,0.0532,0.6499,464.9367,161.7113,438.019,205.2648,78.1559,187.525
XGBoost,0.6474,0.0689,0.6454,457.8775,153.9759,432.993,206.2935,76.0424,189.002
MLP,0.6299,0.0565,0.6372,440.1512,152.7659,420.925,201.6916,76.7329,188.784
GATv2,0.7171,0.0517,0.7119,509.4207,184.6023,492.371,231.7803,93.5462,204.557
