model,WMAPE_mean,WMAPE_std,WMAPE_median,RMSE_mean,RMSE_std,RMSE_median,MAE_mean,MAE_std,MAE_median
HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
RF,0.7975,0.0287,0.8031,551.153,193.9833,522.002,260.1515,110.9041,233.376
MLP,0.7983,0.0288,0.7948,552.7368,190.1133,522.189,259.6849,108.0076,233.945
GATv2,0.8058,0.0293,0.8104,561.9629,192.8235,536.299,262.5853,110.3997,234.998
