model,WMAPE_mean,WMAPE_std,WMAPE_median,RMSE_mean,RMSE_std,RMSE_median,MAE_mean,MAE_std,MAE_median
HistAvg,1.451,0.7339,1.2395,437.863,112.3888,388.739,272.2106,21.9881,265.098
MLR,0.6772,0.03,0.6933,366.7434,144.1759,348.166,153.5874,70.9337,148.322
RF,0.6689,0.0189,0.6598,366.1722,138.5988,324.38,152.6904,73.6345,141.12
XGBoost,0.6626,0.0196,0.6577,351.7568,138.2095,301.404,150.6198,71.1981,140.667
MLP,0.664,0.0253,0.6734,353.622,143.5041,309.83,150.3324,69.1419,144.021
GATv2,0.7201,0.0258,0.7159,384.3574,153.5188,343.481,163.1304,75.7558,153.1
GATv2-Fusion,0.7145,0.0379,0.7302,378.5446,150.6217,339.862,162.7314,76.193,158.131
