model,WMAPE_mean,WMAPE_std,WMAPE_median,RMSE_mean,RMSE_std,RMSE_median,MAE_mean,MAE_std,MAE_median
HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
MLR,0.812,0.0303,0.8106,557.8936,184.1717,538.764,263.4091,106.9826,239.04
RF,0.8128,0.0258,0.8088,561.9552,193.3304,543.913,264.6997,110.6264,237.673
XGBoost,0.8207,0.033,0.811,561.264,192.6897,547.906,266.6676,109.8316,238.826
