model,WMAPE_mean,WMAPE_std,WMAPE_median,RMSE_mean,RMSE_std,RMSE_median,MAE_mean,MAE_std,MAE_median
HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
RF,0.8121,0.0258,0.8078,561.3761,192.6756,542.463,264.3545,110.1012,237.087
MLP,0.8114,0.0271,0.8075,561.9647,189.6256,535.186,263.7676,108.6465,237.943
GATv2,0.8241,0.027,0.823,573.1124,194.6342,547.382,268.2665,111.6885,242.329
