model,WMAPE_mean,WMAPE_std,WMAPE_median,RMSE_mean,RMSE_std,RMSE_median,MAE_mean,MAE_std,MAE_median
HistAvg,1.0822,0.3778,0.9636,554.0392,178.5066,512.677,316.0504,71.1167,285.229
RF,0.8062,0.0336,0.8059,553.438,196.6946,530.093,262.8635,112.0129,234.66
MLP,0.8058,0.0301,0.803,556.8851,191.824,524.203,261.8646,108.2621,235.193
GATv2,0.8259,0.0287,0.8239,573.8317,197.016,560.211,269.6667,114.23,238.956
